,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000128713,14.4114950655301,6.8389900095371,2.10105135175968,3.25503229790614,0.00113379471153251,0.00727084865469014
ENSG00000128714,90.3523501805474,9.50344202245389,2.17452871681587,4.37034560590658,1.24050040341873e-05,0.000222335841535819
ENSG00000129514,1.27850542397422,-3.28854206014655,1.31384545156709,-2.50299002536725,0.0123149014748265,0.0475741503946547
ENSG00000130234,20.2251574175638,4.51013820851409,1.67632033185301,2.69049901907982,0.00713452447839192,0.0315607505553255
ENSG00000130988,34.8413503894362,3.59594633883229,0.970661182835343,3.70463597640567,0.000211694525077845,0.00214455758013643
ENSG00000132975,159.064309073944,10.7339177948375,2.08282057525296,5.15354895297874,2.55602309863772e-07,9.40347445235665e-06
ENSG00000134061,19.4184389548465,7.28472015683492,1.64388851775167,4.43139548586795,9.36251901724307e-06,0.000186982879801512
ENSG00000134548,7.94038161616703,2.12885817881203,0.850429474259108,2.50327421996596,0.01230501633439,0.0475741503946547
ENSG00000134873,38.9029140009243,8.27948178819318,1.43058502448116,5.78747969991923,7.14503189304583e-09,5.05580651718746e-07
ENSG00000134874,8.79578263025231,6.57068887547997,1.23397873986388,5.32479909354418,1.01064679752357e-07,4.40361501949336e-06
ENSG00000135903,62.2803543335001,7.60919664176105,2.02109360420481,3.7648907630653,0.000166621908464311,0.00173933803581798
ENSG00000137033,2.63447100479774,4.34674092814688,1.54904204547324,2.80608324406,0.00501477353333829,0.0235256825490165
ENSG00000137809,13.9137572737586,5.33404215448473,1.27491128424071,4.18385359077081,2.86608735472987e-05,0.0003928225609718
ENSG00000138131,83.1912465252064,4.24912445279685,1.47575689399977,2.87928484025603,0.00398578163878884,0.0197593004646341
ENSG00000140459,41.0975682075245,6.27053857783307,1.6544217148618,3.79016941176747,0.000150544573148338,0.00161893317893367
ENSG00000140557,57.8287182635679,9.27263138792116,1.7693637118059,5.2406587328826,1.60004383906899e-07,6.21350357505125e-06
ENSG00000143028,8.51394912369106,4.32590907277028,1.26792056645742,3.41181394734918,0.000645321424793454,0.00474820711505921
ENSG00000143947,1132.39313136913,1.20887918420697,0.435939384327553,2.77304420675754,0.00555345760310155,0.0255385977932104
ENSG00000144642,26.6501762774884,8.15622117347746,2.00597166117826,4.0659702882775,4.78330300449035e-05,0.000607914327297955
ENSG00000146070,15.5739242759618,3.73401467590485,1.34978009086735,2.76638742945558,0.00566811503919376,0.0257273533272496
ENSG00000146373,14.025012974202,3.20653557528038,1.17371755289752,2.7319482164721,0.00629610359287871,0.0282113872527065
ENSG00000146374,9.58497592174018,5.82560218117925,1.63319935091509,3.56698781316263,0.000361108267305477,0.00319512251704466
ENSG00000146477,23.8486425919797,7.99624996358395,2.36687375348639,3.37840155259888,0.000729085324926711,0.00520031267473235
ENSG00000147381,232.831371013543,10.8705979641088,1.93015581556412,5.63197948914384,1.78152875118001e-08,9.57914305442177e-07
ENSG00000148704,14.1190910710404,7.24050497908338,1.61150168098696,4.4930173294321,7.02210679819667e-06,0.000144366254468808
ENSG00000149633,7.44274166734263,6.32046533970756,1.72289528776585,3.66851391642239,0.000243964416792541,0.0024018468639153
ENSG00000151789,14.9337981351612,5.27025123520366,1.51913611886538,3.4692422685203,0.000521928570930223,0.00413103340446961
ENSG00000156150,175.611764494685,1.77518309450583,0.709257673627861,2.50287471043599,0.0123189144798748,0.0475741503946547
ENSG00000157152,71.1953554857114,5.07103688455868,1.17974599403733,4.29841415880088,1.72024499655923e-05,0.000264938372714286
